"Water, Air, & Soil Pollution",,
,,
Long-term genomic surveillance unveils key drivers of Salmonella contamination and antimicrobial resistance dynamics in surface waters from Central Mexico ,,
,,
"Enrique Jesús Delgado-Suárez*, Santiago Zapata-Ramírez, Luz del Carmen Sierra-Gómez Pedroso, Francisco Alejandro Ruíz-López, Nayarit Emérita Ballesteros-Nova, Orbelín Soberanis-Ramos, María Salid Rubio-Lozano, Luisa María Sánchez-Zamorano, Yaselda Chavarin-Pineda, Rebecca Bell, Anna Brover, Maria Balkey, Christopher Grim, Eric W. Brown, Marc W. Allard, Zhao Chen, Magaly Toro, Jianghong Meng
*Corresponding author. Facultad de Medicina Veterinaria y Zootecnia, Universidad Nacional Autónoma de México, Mexico City, Mexico. E-mail: ejds@fmvz.unam.mx",,
,,
Online resource 5.  Durg-level phenotype-genotype agreement quantified using Cohen's kappa coefficients,,
,,
Antibiotic,Associated_Gene,Kappa_ASE
AMP,bla,0.8755
AMP,bla,0.0279
AMC,bla,0.1082
AMC,bla,0.042
CRO,bla,0.1515
CRO,bla,0.0472
FEP,bla,0.0142
FEP,bla,0.0181
MEM,bla,-0.0111
MEM,bla,0.0063
CIP,gyrA,-0.0182
CIP,gyrA,0.0364
AZM,mph,0.5395
AZM,mph,0.0615
TET,tetA,0.9216
TET,tetA,0.0176
CHL,floR,0.9216
CHL,floR,0.0199
AMK,aac,0.0738
AMK,aac,0.0263
STR,aac,0.7225
STR,aac,0.0325
SXT,sul,0.6751
SXT,sul,0.0352
